ProductKey,Title,BrandName,Description,VariantName,VariantCode,Gtin
DEMO-P001,Pulse Wireless Earbuds,DemoTech,Compact wireless earbuds for everyday listening.,Black,DEMO-P001-V01,8800000000001
DEMO-P001,Pulse Wireless Earbuds,DemoTech,Compact wireless earbuds for everyday listening.,White,DEMO-P001-V02,8800000000002
DEMO-P001,Pulse Wireless Earbuds,DemoTech,Compact wireless earbuds for everyday listening.,Blue,DEMO-P001-V03,8800000000003
DEMO-P001,Pulse Wireless Earbuds,DemoTech,Compact wireless earbuds for everyday listening.,Green,DEMO-P001-V04,8800000000004
DEMO-P001,Pulse Wireless Earbuds,DemoTech,Compact wireless earbuds for everyday listening.,Rose,DEMO-P001-V05,8800000000005
DEMO-P002,Studio Over-Ear Headphones,DemoTech,Comfortable over-ear headphones with a padded headband.,Black,DEMO-P002-V01,8800000000006
DEMO-P002,Studio Over-Ear Headphones,DemoTech,Comfortable over-ear headphones with a padded headband.,Silver,DEMO-P002-V02,8800000000007
DEMO-P002,Studio Over-Ear Headphones,DemoTech,Comfortable over-ear headphones with a padded headband.,Navy,DEMO-P002-V03,8800000000008
DEMO-P002,Studio Over-Ear Headphones,DemoTech,Comfortable over-ear headphones with a padded headband.,Red,DEMO-P002-V04,8800000000009
DEMO-P002,Studio Over-Ear Headphones,DemoTech,Comfortable over-ear headphones with a padded headband.,Beige,DEMO-P002-V05,8800000000010
DEMO-P003,Active Smart Watch,DemoTech,Fitness-focused smart watch with daily activity tracking.,Black 40 mm,DEMO-P003-V01,8800000000011
DEMO-P003,Active Smart Watch,DemoTech,Fitness-focused smart watch with daily activity tracking.,Silver 40 mm,DEMO-P003-V02,8800000000012
DEMO-P003,Active Smart Watch,DemoTech,Fitness-focused smart watch with daily activity tracking.,Rose 40 mm,DEMO-P003-V03,8800000000013
DEMO-P003,Active Smart Watch,DemoTech,Fitness-focused smart watch with daily activity tracking.,Black 44 mm,DEMO-P003-V04,8800000000014
DEMO-P003,Active Smart Watch,DemoTech,Fitness-focused smart watch with daily activity tracking.,Silver 44 mm,DEMO-P003-V05,8800000000015
DEMO-P004,FastCharge Power Bank,DemoTech,Portable USB power bank for phones and accessories.,10000 mAh Black,DEMO-P004-V01,8800000000016
DEMO-P004,FastCharge Power Bank,DemoTech,Portable USB power bank for phones and accessories.,10000 mAh White,DEMO-P004-V02,8800000000017
DEMO-P004,FastCharge Power Bank,DemoTech,Portable USB power bank for phones and accessories.,20000 mAh Black,DEMO-P004-V03,8800000000018
DEMO-P004,FastCharge Power Bank,DemoTech,Portable USB power bank for phones and accessories.,20000 mAh Blue,DEMO-P004-V04,8800000000019
DEMO-P004,FastCharge Power Bank,DemoTech,Portable USB power bank for phones and accessories.,30000 mAh Black,DEMO-P004-V05,8800000000020
DEMO-P005,Mini Bluetooth Speaker,DemoTech,Portable Bluetooth speaker for indoor and outdoor use.,Black,DEMO-P005-V01,8800000000021
DEMO-P005,Mini Bluetooth Speaker,DemoTech,Portable Bluetooth speaker for indoor and outdoor use.,White,DEMO-P005-V02,8800000000022
DEMO-P005,Mini Bluetooth Speaker,DemoTech,Portable Bluetooth speaker for indoor and outdoor use.,Blue,DEMO-P005-V03,8800000000023
DEMO-P005,Mini Bluetooth Speaker,DemoTech,Portable Bluetooth speaker for indoor and outdoor use.,Orange,DEMO-P005-V04,8800000000024
DEMO-P005,Mini Bluetooth Speaker,DemoTech,Portable Bluetooth speaker for indoor and outdoor use.,Green,DEMO-P005-V05,8800000000025
DEMO-P006,Stride Running Shoes,UrbanStep,Lightweight running shoes with a breathable upper.,Size 7,DEMO-P006-V01,8800000000026
DEMO-P006,Stride Running Shoes,UrbanStep,Lightweight running shoes with a breathable upper.,Size 8,DEMO-P006-V02,8800000000027
DEMO-P006,Stride Running Shoes,UrbanStep,Lightweight running shoes with a breathable upper.,Size 9,DEMO-P006-V03,8800000000028
DEMO-P006,Stride Running Shoes,UrbanStep,Lightweight running shoes with a breathable upper.,Size 10,DEMO-P006-V04,8800000000029
DEMO-P006,Stride Running Shoes,UrbanStep,Lightweight running shoes with a breathable upper.,Size 11,DEMO-P006-V05,8800000000030
DEMO-P007,Street Casual Sneakers,UrbanStep,Everyday lace-up sneakers with a flexible sole.,Black 8,DEMO-P007-V01,8800000000031
DEMO-P007,Street Casual Sneakers,UrbanStep,Everyday lace-up sneakers with a flexible sole.,White 8,DEMO-P007-V02,8800000000032
DEMO-P007,Street Casual Sneakers,UrbanStep,Everyday lace-up sneakers with a flexible sole.,Black 9,DEMO-P007-V03,8800000000033
DEMO-P007,Street Casual Sneakers,UrbanStep,Everyday lace-up sneakers with a flexible sole.,White 9,DEMO-P007-V04,8800000000034
DEMO-P007,Street Casual Sneakers,UrbanStep,Everyday lace-up sneakers with a flexible sole.,Navy 10,DEMO-P007-V05,8800000000035
DEMO-P008,Essential Cotton T-Shirt,Everyday Co,Regular-fit cotton T-shirt for daily wear.,Small,DEMO-P008-V01,8800000000036
DEMO-P008,Essential Cotton T-Shirt,Everyday Co,Regular-fit cotton T-shirt for daily wear.,Medium,DEMO-P008-V02,8800000000037
DEMO-P008,Essential Cotton T-Shirt,Everyday Co,Regular-fit cotton T-shirt for daily wear.,Large,DEMO-P008-V03,8800000000038
DEMO-P008,Essential Cotton T-Shirt,Everyday Co,Regular-fit cotton T-shirt for daily wear.,XL,DEMO-P008-V04,8800000000039
DEMO-P008,Essential Cotton T-Shirt,Everyday Co,Regular-fit cotton T-shirt for daily wear.,XXL,DEMO-P008-V05,8800000000040
DEMO-P009,Classic Zip Hoodie,Everyday Co,Soft zip hoodie with pockets and an adjustable hood.,Small,DEMO-P009-V01,8800000000041
DEMO-P009,Classic Zip Hoodie,Everyday Co,Soft zip hoodie with pockets and an adjustable hood.,Medium,DEMO-P009-V02,8800000000042
